monitoring_location_name,activity_start_date,activity_depth_height_unit,sample_collection_equipment_name,characteristic_name,method_speciation,result_value,result_unit,result_detection_quantitation_limit_measure,result_detection_condition,result_analytical_method_instrument
373 LA CB,2003-05-28,meta,,CHLA,,2.4,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-05-28,epi,,COND,,18,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-05-28,epi,,DIC,as Total CO2,182,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-05-28,epi,,DIC,as Total CO2,180,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-05-28,meta,,DIC,as Total CO2,203,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-05-28,meta,,DIC,as Total CO2,185,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-05-28,meta,,DOC,as C,317,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-05-28,epi,,DOC,as C,313,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-05-28,epi,,NA,as Na,0.76,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-05-28,epi,,NO2,as NO2-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-05-28,meta,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-05-28,meta,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-05-28,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-05-28,meta,,PARTP,as P,6,ug/L,1,,Spectrophotometer
373 LA CB,2003-05-28,epi,,PARTP,as P,5,ug/L,1,,Spectrophotometer
373 LA CB,2003-05-28,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-05-28,epi,,TDN,as N,185,ug/L,5,,Photocombustion
373 LA CB,2003-05-28,meta,,TDN,as N,200,ug/L,5,,Photocombustion
373 LA CB,2003-05-28,meta,,TDP,as P,1,ug/L,1,,Photocombustion
373 LA CB,2003-05-28,epi,,TDP,as P,1,ug/L,1,,Photocombustion
373 LA CB,2003-06-11,epi,,CA,as Ca,2.92,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-06-11,epi,,CHLA,,1.14,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-06-11,meta,,CHLA,,3.11,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-06-11,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-06-11,epi,,DIC,as Total CO2,165,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-11,epi,,DIC,as Total CO2,171,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-11,meta,,DIC,as Total CO2,189,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-11,meta,,DIC,as Total CO2,177,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-11,meta,,DOC,as C,320,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-11,epi,,DOC,as C,324,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-11,epi,,NA,as Na,0.75,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-06-11,epi,,NO2,as NO2-N,2,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-06-11,meta,,NO2,as NO2-N,2,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-06-11,meta,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-06-11,epi,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-06-11,meta,,PARTP,as P,8,ug/L,1,,Spectrophotometer
373 LA CB,2003-06-11,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
373 LA CB,2003-06-11,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-06-11,meta,,TDN,as N,275,ug/L,5,,Photocombustion
373 LA CB,2003-06-11,epi,,TDN,as N,255,ug/L,5,,Photocombustion
373 LA CB,2003-06-11,epi,,TDP,as P,1,ug/L,1,,Photocombustion
373 LA CB,2003-06-11,meta,,TDP,as P,2,ug/L,1,,Photocombustion
373 LA CB,2003-06-25,epi,,CA,as Ca,2.77,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-06-25,epi,,CHLA,,0.96,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-06-25,meta,,CHLA,,4.24,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-06-25,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-06-25,epi,,DIC,as Total CO2,185,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-25,meta,,DIC,as Total CO2,196,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-25,meta,,DIC,as Total CO2,210,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-25,epi,,DIC,as Total CO2,162,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-25,epi,,DOC,as C,318,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-25,meta,,DOC,as C,308,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-06-25,epi,,NA,as Na,0.74,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-06-25,meta,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-06-25,epi,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-06-25,epi,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-06-25,meta,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-06-25,meta,,PARTP,as P,5,ug/L,1,,Spectrophotometer
373 LA CB,2003-06-25,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
373 LA CB,2003-06-25,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-06-25,epi,,TDN,as N,205,ug/L,5,,Photocombustion
373 LA CB,2003-06-25,meta,,TDN,as N,180,ug/L,5,,Photocombustion
373 LA CB,2003-06-25,meta,,TDP,as P,2,ug/L,1,,Photocombustion
373 LA CB,2003-06-25,epi,,TDP,as P,3,ug/L,1,,Photocombustion
373 LA CB,2003-07-09,epi,,CA,as Ca,2.94,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-07-09,epi,,CHLA,,2.11,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-07-09,meta,,CHLA,,2.26,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-07-09,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-07-09,meta,,DIC,as Total CO2,184,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-09,epi,,DIC,as Total CO2,196,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-09,epi,,DIC,as Total CO2,187,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-09,meta,,DIC,as Total CO2,223,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-09,meta,,DOC,as C,330,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-09,epi,,DOC,as C,366,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-09,epi,,NA,as Na,0.75,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-07-09,epi,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-07-09,meta,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-07-09,meta,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-07-09,epi,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-07-09,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
373 LA CB,2003-07-09,meta,,PARTP,as P,5,ug/L,1,,Spectrophotometer
373 LA CB,2003-07-09,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-07-09,epi,,TDN,as N,315,ug/L,5,,Photocombustion
373 LA CB,2003-07-09,meta,,TDN,as N,245,ug/L,5,,Photocombustion
373 LA CB,2003-07-09,meta,,TDP,as P,2,ug/L,1,,Photocombustion
373 LA CB,2003-07-09,epi,,TDP,as P,3,ug/L,1,,Photocombustion
373 LA CB,2003-07-23,epi,,CA,as Ca,3,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-07-23,epi,,CHLA,,1.57,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-07-23,meta,,CHLA,,2.34,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-07-23,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-07-23,meta,,DIC,as Total CO2,196,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-23,epi,,DIC,as Total CO2,177,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-23,meta,,DIC,as Total CO2,225,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-23,epi,,DIC,as Total CO2,189,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-23,meta,,DOC,as C,329,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-23,epi,,DOC,as C,338,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-07-23,epi,,NA,as Na,0.77,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-07-23,meta,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-07-23,epi,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-07-23,epi,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-07-23,meta,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-07-23,meta,,PARTP,as P,5,ug/L,1,,Spectrophotometer
373 LA CB,2003-07-23,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
373 LA CB,2003-07-23,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-07-23,meta,,TDN,as N,200,ug/L,5,,Photocombustion
373 LA CB,2003-07-23,epi,,TDN,as N,205,ug/L,5,,Photocombustion
373 LA CB,2003-07-23,meta,,TDP,as P,3,ug/L,1,,Photocombustion
373 LA CB,2003-07-23,epi,,TDP,as P,1,ug/L,1,,Photocombustion
373 LA CB,2003-08-07,epi,,CA,as Ca,2.85,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-08-07,epi,,CHLA,,0.69,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-08-07,meta,,CHLA,,1.87,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-08-07,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-08-07,epi,,DIC,as Total CO2,200,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-07,epi,,DIC,as Total CO2,190,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-07,meta,,DIC,as Total CO2,199,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-07,meta,,DIC,as Total CO2,246,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-07,meta,,DOC,as C,346,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-07,epi,,DOC,as C,374,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-07,epi,,NA,as Na,0.76,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-08-07,epi,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-08-07,meta,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-08-07,meta,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-08-07,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-08-07,meta,,PARTP,as P,4,ug/L,1,,Spectrophotometer
373 LA CB,2003-08-07,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
373 LA CB,2003-08-07,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-08-07,meta,,TDN,as N,255,ug/L,5,,Photocombustion
373 LA CB,2003-08-07,epi,,TDN,as N,260,ug/L,5,,Photocombustion
373 LA CB,2003-08-07,epi,,TDP,as P,2,ug/L,1,,Photocombustion
373 LA CB,2003-08-07,meta,,TDP,as P,2,ug/L,1,,Photocombustion
373 LA CB,2003-08-20,epi,,CA,as Ca,2.93,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-08-20,epi,,CHLA,,0.71,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-08-20,meta,,CHLA,,1.87,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-08-20,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-08-20,epi,,DIC,as Total CO2,166,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-20,epi,,DIC,as Total CO2,197,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-20,meta,,DIC,as Total CO2,199,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-20,meta,,DIC,as Total CO2,197,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-20,meta,,DOC,as C,352,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-20,epi,,DOC,as C,366,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-08-20,epi,,NA,as Na,0.77,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-08-20,epi,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-08-20,meta,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-08-20,meta,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-08-20,epi,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-08-20,meta,,PARTP,as P,4,ug/L,1,,Spectrophotometer
373 LA CB,2003-08-20,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
373 LA CB,2003-08-20,epi,,PH,,8,SU,#N/A,,pH Meter
373 LA CB,2003-08-20,meta,,TDN,as N,205,ug/L,5,,Photocombustion
373 LA CB,2003-08-20,epi,,TDN,as N,230,ug/L,5,,Photocombustion
373 LA CB,2003-08-20,epi,,TDP,as P,2,ug/L,1,,Photocombustion
373 LA CB,2003-08-20,meta,,TDP,as P,3,ug/L,1,,Photocombustion
373 LA CB,2003-09-04,epi,,CA,as Ca,2.91,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-09-04,epi,,CHLA,,3.47,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-09-04,meta,,CHLA,,4.87,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-09-04,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-09-04,epi,,DIC,as Total CO2,185,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-04,epi,,DIC,as Total CO2,164,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-04,meta,,DIC,as Total CO2,181,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-04,meta,,DIC,as Total CO2,179,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-04,meta,,DOC,as C,326,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-04,epi,,DOC,as C,359,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-04,epi,,NA,as Na,0.77,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-09-04,epi,,NO2,as NO2-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-09-04,meta,,NO2,as NO2-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-09-04,meta,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-09-04,epi,,NO3,as NO3-N,4,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-09-04,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
373 LA CB,2003-09-04,meta,,PARTP,as P,3,ug/L,1,,Spectrophotometer
373 LA CB,2003-09-04,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-09-04,meta,,TDN,as N,220,ug/L,5,,Photocombustion
373 LA CB,2003-09-04,epi,,TDN,as N,260,ug/L,5,,Photocombustion
373 LA CB,2003-09-04,epi,,TDP,as P,1,ug/L,1,,Photocombustion
373 LA CB,2003-09-04,meta,,TDP,as P,2,ug/L,1,,Photocombustion
373 LA CB,2003-09-17,epi,,CA,as Ca,2.93,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-09-17,epi,,CHLA,,0.91,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-09-17,meta,,CHLA,,3.06,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-09-17,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-09-17,epi,,DIC,as Total CO2,178,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-17,epi,,DIC,as Total CO2,177,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-17,meta,,DIC,as Total CO2,212,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-17,meta,,DIC,as Total CO2,285,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-17,epi,,DOC,as C,340,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-17,meta,,DOC,as C,326,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-09-17,epi,,NA,as Na,0.76,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-09-17,epi,,NO2,as NO2-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-09-17,meta,,NO2,as NO2-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-09-17,meta,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-09-17,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-09-17,meta,,PARTP,as P,7,ug/L,1,,Spectrophotometer
373 LA CB,2003-09-17,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
373 LA CB,2003-09-17,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-09-17,meta,,TDN,as N,205,ug/L,5,,Photocombustion
373 LA CB,2003-09-17,epi,,TDN,as N,230,ug/L,5,,Photocombustion
373 LA CB,2003-09-17,epi,,TDP,as P,1,ug/L,1,,Photocombustion
373 LA CB,2003-09-17,meta,,TDP,as P,2,ug/L,1,,Photocombustion
373 LA CB,2003-10-01,epi,,CA,as Ca,2.86,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-10-01,epi,,CHLA,,2.16,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-10-01,meta,,CHLA,,4.82,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-10-01,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-10-01,epi,,DIC,as Total CO2,188,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-10-01,epi,,DIC,as Total CO2,192,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-10-01,meta,,DIC,as Total CO2,314,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-10-01,meta,,DIC,as Total CO2,223,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-10-01,meta,,DOC,as C,321,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-10-01,epi,,DOC,as C,348,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-10-01,epi,,NA,as Na,0.79,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-10-01,epi,,NO2,as NO2-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-10-01,meta,,NO2,as NO2-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-10-01,meta,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-10-01,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-10-01,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
373 LA CB,2003-10-01,meta,,PARTP,as P,7,ug/L,1,,Spectrophotometer
373 LA CB,2003-10-01,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-10-01,epi,,TDN,as N,170,ug/L,5,,Photocombustion
373 LA CB,2003-10-01,meta,,TDN,as N,165,ug/L,5,,Photocombustion
373 LA CB,2003-10-01,meta,,TDP,as P,3,ug/L,1,,Photocombustion
373 LA CB,2003-10-01,epi,,TDP,as P,1,ug/L,1,,Photocombustion
373 LA CB,2003-10-16,epi,,CA,as Ca,2.86,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-10-16,epi,,CHLA,,3.07,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-10-16,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-10-16,epi,,DIC,as Total CO2,192,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-10-16,epi,,DIC,as Total CO2,192,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-10-16,epi,,DOC,as C,330,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-10-16,epi,,NA,as Na,0.8,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-10-16,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-10-16,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
373 LA CB,2003-10-16,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-10-16,epi,,TDN,as N,185,ug/L,5,,Photocombustion
373 LA CB,2003-10-16,epi,,TDP,as P,1,ug/L,1,,Photocombustion
373 LA CB,2003-11-04,epi,,CA,as Ca,2.91,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-11-04,epi,,CHLA,,1.75,ug/L,0.01,,Fluorometric-Method
373 LA CB,2003-11-04,epi,,COND,,29,uS/cm,1,,Radiometer CDM 3
373 LA CB,2003-11-04,epi,,DIC,as Total CO2,254,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-11-04,epi,,DIC,as Total CO2,217,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-11-04,epi,,DOC,as C,338,umol/L,10,,Automated conductimetric technique
373 LA CB,2003-11-04,epi,,NA,as Na,0.75,mg/L,0.01,,Atomic-Absorption
373 LA CB,2003-11-04,epi,,NO2,as NO2-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2003-11-04,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2003-11-04,epi,,PARTP,as P,5,ug/L,1,,Spectrophotometer
373 LA CB,2003-11-04,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2003-11-04,epi,,TDN,as N,215,ug/L,5,,Photocombustion
373 LA CB,2003-11-04,epi,,TDP,as P,2,ug/L,1,,Photocombustion
373 LA CB,2004-05-12,epi,,CA,as Ca,2.89,mg/L,0.01,,Atomic-Absorption
373 LA CB,2004-05-12,epi,,CHLA,,3.42,ug/L,0.01,,Fluorometric-Method
373 LA CB,2004-05-12,epi,,COND,,28,uS/cm,1,,Radiometer CDM 3
373 LA CB,2004-05-12,epi,,DIC,as Total CO2,250,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-05-12,epi,,DIC,as Total CO2,203,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-05-12,epi,,DOC,as C,320,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-05-12,epi,,NA,as Na,0.74,mg/L,0.01,,Atomic-Absorption
373 LA CB,2004-05-12,epi,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2004-05-12,epi,,NO3,as NO3-N,5,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2004-05-12,epi,,PARTP,as P,8,ug/L,1,,Spectrophotometer
373 LA CB,2004-05-12,epi,,PH,,7,SU,#N/A,,pH Meter
373 LA CB,2004-05-12,epi,,TDN,as N,200,ug/L,5,,Photocombustion
373 LA CB,2004-05-12,epi,,TDP,as P,1,ug/L,1,,Photocombustion
373 LA CB,2004-05-19,epi,,CA,as Ca,2.87,mg/L,0.01,,Atomic-Absorption
373 LA CB,2004-05-19,epi,,CHLA,,1.59,ug/L,0.01,,Fluorometric-Method
373 LA CB,2004-05-19,meta,,CHLA,,2.82,ug/L,0.01,,Fluorometric-Method
373 LA CB,2004-05-19,epi,,COND,,25,uS/cm,1,,Radiometer CDM 3
373 LA CB,2004-05-19,epi,,DIC,as Total CO2,219,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-05-19,meta,,DIC,as Total CO2,196,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-05-19,meta,,DIC,as Total CO2,219,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-05-19,epi,,DIC,as Total CO2,191,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-05-19,meta,,DOC,as C,336,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-05-19,epi,,DOC,as C,341,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-05-19,epi,,NA,as Na,0.76,mg/L,0.01,,Atomic-Absorption
373 LA CB,2004-05-19,epi,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2004-05-19,meta,,NO2,as NO2-N,1,ug/L,1,,Technicon Autoanalyzer
373 LA CB,2004-05-19,meta,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2004-05-19,epi,,NO3,as NO3-N,0,ug/L,1,Below Detection/Quantification Limit,Technicon Autoanalyzer
373 LA CB,2004-05-19,meta,,PARTP,as P,9,ug/L,1,,Spectrophotometer
373 LA CB,2004-05-19,epi,,PARTP,as P,7,ug/L,1,,Spectrophotometer
373 LA CB,2004-05-19,epi,,PH,,6,SU,#N/A,,pH Meter
373 LA CB,2004-05-19,epi,,TDN,as N,165,ug/L,5,,Photocombustion
373 LA CB,2004-05-19,meta,,TDN,as N,210,ug/L,5,,Photocombustion
373 LA CB,2004-05-19,meta,,TDP,as P,4,ug/L,1,,Photocombustion
373 LA CB,2004-05-19,epi,,TDP,as P,30,ug/L,1,,Photocombustion
373 LA CB,2004-06-02,epi,,CA,as Ca,2.87,mg/L,0.01,,Atomic-Absorption
373 LA CB,2004-06-02,epi,,CHLA,,1.62,ug/L,0.01,,Fluorometric-Method
373 LA CB,2004-06-02,meta,,CHLA,,4.41,ug/L,0.01,,Fluorometric-Method
373 LA CB,2004-06-02,epi,,COND,,23,uS/cm,1,,Radiometer CDM 3
373 LA CB,2004-06-02,epi,,DIC,as Total CO2,155,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-06-02,epi,,DIC,as Total CO2,202,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-06-02,meta,,DIC,as Total CO2,194,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-06-02,meta,,DIC,as Total CO2,227,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-06-02,meta,,DOC,as C,331,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-06-02,epi,,DOC,as C,342,umol/L,10,,Automated conductimetric technique
373 LA CB,2004-06-02,epi,,NA,as Na,0.76,mg/L,0.01,,Atomic-Absorption
