BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,elevation
South Wapageisi,49.26695,-92.38208,15-5449-54565,South Wapageisi,49.26166667,-92.38333333,15-5449-54565,,410.3864746
Goodwin,45.25505,-78.64918,17-6844-50137,Goodwin,45.255,-78.64944444,17-6844-50137,,411.3320007
Arbuckle,45.37262,-78.81965,17-6707-50264,Arbuckle,45.37222222,-78.81944444,17-6708-50264,,411.5759888
Mozhabong,46.95159,-82.08518,17-4175-51987,Mozhabong,46.93861111,-82.08361111,17-4175-51987,,411.6070557
Agnes,48.22804,-91.35112,15-6228-53450,Agnes,48.24805556,-91.34527778,15-6229-53450,,411.881958
Wideman,48.68394,-88.76817,16-3699-53936,Wideman,48.68416667,-88.76722222,16-3699-53936,,412.4416504
Dick,47.10866,-84.358,16-7004-52204,Dick,47.10861111,-84.35805556,16-7004-52204,,412.7619934
Avery,47.14395,-81.23287,17-4823-52210,Avery,47.14388889,-81.23305556,17-4823-52210,,413.741394
Dennie,46.91451,-81.90151,17-4313-51958,Dennie,46.91444444,-81.90166667,17-4313-51958,,414.3025208
Wabigoon,47.67774,-84.67689,16-6746-52826,Wabigoon,47.67527778,-84.67333333,16-6746-52826,,414.5223999
White Otter,49.09057,-91.86311,15-5816-54402,White Otter,49.11111111,-91.88138889,15-5816-54402,,414.7944946
Marmion,48.89674,-91.51896,15-6065-54144,Marmion,48.875,-91.54722222,15-6065-54144,,414.9863892
Prune,47.18868,-81.12899,17-4902-52259,Prune,47.18861111,-81.12916667,17-4902-52259,,415.3006897
Holinshead,49.65403,-89.68153,16-3069-55034,Holinshead,49.65416667,-89.67555556,16-3069-55034,,416.1506653
Little Sandbar,49.45098,-91.54113,15-6059-54782,Little Sandbar,49.44916667,-91.53944444,15-6059-54782,,416.7298584
West Kabenung,48.2603,-85.04903,16-6450-53469,West Kabenung,48.26055556,-85.04583333,16-6450-53469,,416.9491577
Parks,49.45125,-87.64326,16-4548-54782,Parks,49.45638889,-87.62305556,16-4548-54782,,417.0654907
Katzenbach,48.06369,-85.33663,16-6239-53245,Katzenbach,48.06361111,-85.33666667,16-6239-53245,,417.6952209
Mishi,48.07953,-85.35913,16-6222-53262,Mishi,48.07944444,-85.35916667,16-6222-53262,,417.8897705
Astonish,46.56531,-82.85482,17-3582-51582,Astonish,46.56416667,-82.85055556,17-3582-51582,,418.4829407
Duval,46.72117,-83.05211,17-3432-51760,Duval,46.72111111,-83.05222222,17-3432-51760,,418.5033569
Paguchi,49.56217,-91.52956,15-6056-54920,Paguchi,49.57333333,-91.53972222,15-6056-54920,,418.5966187
Deschamp,46.57699,-82.43105,17-3903-51589,Deschamp,46.57666667,-82.43166667,17-3903-51589,,419.3754578
Florence,47.2431,-80.55819,17-5335-52315,Florence,47.23777778,-80.55777778,17-5335-52315,,420.2833862
Belwood,43.7585,-80.33953,17-5535-48461,Belwood,43.76805556,-80.33583333,17-5535-48461,,420.3059998
Greenwich,48.80501,-88.85841,16-3638-54070,Greenwich,48.80333333,-88.85472222,16-3638-54070,,420.6653442
Gavor,47.10214,-84.01306,16-7267-52208,Gavor,47.10361111,-84.01194444,16-7267-52208,,420.8850098
Dog,48.77812,-89.51281,16-3132-54041,Dog,48.76388889,-89.5425,16-3132-54041,,421.072998
Hunters,48.68849,-88.73973,16-3724-53935,NA,48.69,-88.7375,16-3715-53932,Need to check. In same lake as Elbow,421.1774292
Elbow,48.6909,-88.73401,16-3724-53943,Elbow,48.69083333,-88.73388889,16-3724-53943,,421.8269653
Lower Muldrew,47.08843,-81.61974,17-4529-52150,Lower Muldrew,47.08916667,-81.62,17-4529-52150,,422.1259766
Okiniada,47.46489,-80.76159,17-5179-52567,Okiniada,47.46527778,-80.76222222,17-5179-52567,,422.9215393
Nora,49.19934,-91.85993,15-5842-54507,Nora,49.205,-91.84416667,15-5842-54507,,422.9823608
Rutter,49.07359,-92.20036,15-5581-54358,Rutter,49.07472222,-92.20416667,15-5581-54358,,424.1369934
Long,48.73714,-88.73431,16-3725-53994,Long,48.73694444,-88.73416667,16-3725-53995,,424.4987183
Nym,48.68333,-91.42721,15-6136-53934,Nym,48.68555556,-91.45638889,15-6136-53934,,424.7548828
Secret,49.07877,-92.14008,15-5627-54364,Secret,49.07888889,-92.14111111,15-5627-54364,,425.0776978
Clearwater West,49.00747,-91.98602,15-5755-54281,Clearwater West,49.00333333,-91.96833333,15-5755-54281,,425.2353821
Borden,47.82327,-83.29694,17-3280-52990,Borden,47.82333333,-83.2975,17-3280-52990,,426.4355469
Rushbrook,46.73787,-81.91669,17-4302-51759,Rushbrook,46.73472222,-81.91305556,17-4302-51759,,427.0012817
Ross,48.36006,-90.93755,15-6528-53582,Ross,48.36027778,-90.93666667,15-6528-53582,,427.4313354
Spinweb,46.67548,-82.38285,17-3943-51700,Spinweb,46.67694444,-82.38138889,17-3943-51700,,427.5368652
Dunstan,45.58689,-79.04685,17-6523-50498,Dunstan,45.58666667,-79.0475,17-6523-50498,,427.5499878
Mercutio,48.80983,-91.09871,15-6383-54085,Mercutio,48.81611111,-91.11666667,15-6383-54085,,427.5879517
Gamitagama,47.65757,-84.76551,16-6678-52804,Gamitagama,47.6575,-84.76555556,16-6678-52804,,427.8048706
Hawkeye,48.68599,-89.45228,16-3199-53954,Hawkeye,48.68722222,-89.44666667,16-3199-53953,,428.8515015
McNaught,47.80341,-83.21843,17-3342-52966,McNaught,47.80305556,-83.21472222,17-3342-52966,,429.6000977
Barbara,49.34384,-87.80103,16-4420-54651,Barbara,49.33805556,-87.79833333,16-4420-54651,,430.0951538
North,45.72134,-79.19754,17-6403-50645,North,45.72138889,-79.19694444,17-6403-50645,,430.3909912
Crowrock,48.97243,-91.79738,15-5858-54247,Crowrock,48.97166667,-91.82777778,15-5858-54248,,430.513916
Sandford,49.10844,-91.68457,15-5955-54404,Sandford,49.11083333,-91.69166667,15-5955-54404,,430.7951965
Turtle,48.95315,-91.94003,15-5770-54220,Turtle,48.94805556,-91.94805556,15-5770-54220,,430.9367065
Eva,48.71744,-91.15971,15-6340-53970,Eva,48.71333333,-91.17805556,15-6340-53970,,431.1370544
Prairie Bee,47.9122,-83.90502,17-2830-53096,Prairie Bee,47.90472222,-83.90333333,17-2830-53096,,431.8436279
Strickland,48.74758,-84.96384,16-6497-54012,Strickland,48.7475,-84.96388889,16-6497-54012,,433.1678467
Crystal,48.7076,-91.27802,15-6263-53964,Crystal,48.70944444,-91.28277778,15-6263-53964,,433.7261963
Abbess,48.67977,-91.68384,15-5970-53925,Abbess,48.68027778,-91.68277778,15-5970-53925,,434.078186
Nelson,45.4919,-78.9583,17-6595-50395,Nelson,45.4925,-78.95888889,17-6595-50395,,434.1740112
Crooked Pine,48.7846,-91.09824,15-6401-54050,Crooked Pine,48.78444444,-91.09333333,15-6401-54050,,434.4041748
Scattergood,49.29686,-92.71694,15-5206-54600,Scattergood,49.29416667,-92.71611111,15-5206-54600,,435.2133484
Ranger,46.90502,-83.56707,17-3053-51969,Ranger,46.89944444,-83.55666667,17-3053-51970,,435.9746704
Burchell,48.58834,-90.62706,15-6747-53842,Burchell,48.58888889,-90.63027778,15-6748-53842,,436.1340942
South Branch,45.6684,-79.05924,17-6512-50588,South Branch,45.66833333,-79.05944444,17-6512-50588,,437.2869263
Smith,47.37764,-80.75967,17-5182-52469,Smith,47.37722222,-80.75861111,17-5182-52469,,437.4698486
Louisa,48.1557,-91.32066,15-6250-53348,Louisa,48.15638889,-91.31916667,15-6250-53348,,438.239502
Aubrey,46.90546,-83.18616,17-3340-51953,Aubrey,46.89277778,-83.17888889,17-3340-51953,,438.9489746
Meach,45.29978,-78.13084,17-7249-50200,Meach,45.29972222,-78.13111111,17-7249-50200,,439.0613403
Little Meach,45.28978,-78.12084,17-7258-50190,Little Meach,45.28972222,-78.12111111,17-7258-50190,,439.4745483
Grey Trout,49.0294,-92.07951,15-5670-54304,Grey Trout,49.02472222,-92.08361111,15-5670-54304,,440.2553406
Irene,49.1255,-91.60496,15-6015-54420,Irene,49.12444444,-91.60833333,15-6015-54420,,440.2599182
North McCrea,48.39452,-85.48552,16-6121-53610,North McCrea,48.39444444,-85.48555556,16-6121-53610,,441.2240601
Northern Light,48.24446,-90.6759,15-6723-53466,Northern Light,48.25111111,-90.67916667,15-6723-53466,,441.2568359
Kilgour,49.24343,-87.89394,16-4348-54546,Kilgour,49.24305556,-87.89638889,16-4348-54546,,441.6993713
Flame,47.28889,-83.17746,17-3354-52393,Flame,47.28833333,-83.17666667,17-3354-52393,,442.7108154
Rinker,49.18251,-89.43716,16-3223-54503,Rinker,49.18194444,-89.43777778,16-3224-54503,,442.8356934
Selwyn,49.45958,-90.89168,15-6531-54804,Selwyn,49.45861111,-90.88777778,15-6531-54804,,442.9047852
Wenebegon,47.38611,-83.09145,17-3416-52510,Wenebegon,47.395,-83.09888889,17-3416-52510,,443.0096436
Question Mark,48.71159,-88.78007,16-3690-53967,Question Mark,48.71166667,-88.78083333,16-3690-53967,,443.1408386
Bark,46.91066,-82.46795,17-3874-51976,Bark,46.92472222,-82.47861111,17-3874-51977,,443.8052979
Jolly,49.16785,-89.45932,16-3207-54488,Jolly,49.16777778,-89.45916667,16-3207-54488,,444.6662598
This Man,48.16447,-91.2036,15-6332-53357,This Man,48.1625,-91.20861111,15-6332-53357,,445.2107544
Bisect,48.70281,-88.75896,16-3706-53956,Bisect,48.70194444,-88.75888889,16-3706-53956,,445.4196472
Wakami,47.48206,-82.84313,17-3606-52610,Wakami,47.48944444,-82.85083333,17-3606-52610,,445.5882874
Peyton,45.77203,-79.15232,17-6436-50702,Peyton,45.7725,-79.15333333,17-6436-50702,,445.7608643
Other Man,48.19347,-91.14873,15-6375-53394,Other Man,48.195,-91.15027778,15-6375-53394,,445.9264832
Mowe,48.33174,-90.74281,15-6672-53552,Mowe,48.32944444,-90.74416667,15-6672-53552,,446.3136902
Kawene,48.7611,-91.20623,15-6315-54021,Kawene,48.75972222,-91.21111111,15-6315-54021,,446.8457642
Little Wawa,47.84731,-83.82821,17-2884-53030,Little Wawa,47.84722222,-83.82833333,17-2884-53030,,446.8659668
Crook,49.05957,-92.13549,15-5634-54343,Crook,49.06055556,-92.13277778,15-5633-54343,,447.0129395
Lulu,47.40481,-80.75706,17-5184-52500,Lulu,47.40555556,-80.75638889,17-5184-52500,,447.016449
Bedivere,48.86818,-90.84937,15-6578-54141,Bedivere,48.86194444,-90.84916667,15-6578-54141,,447.3232727
Clegge,48.74428,-88.7448,16-3718-54003,Clegge,48.74416667,-88.74416667,16-3718-54003,,447.5630798
Sunset,48.20291,-89.93727,16-2818-53430,Sunset,48.20444444,-89.93666667,16-2818-53430,,448.4910278
Walotka,49.04481,-89.07437,16-3483-54344,Walotka,49.04555556,-89.07638889,16-3483-54344,,448.8474121
Shebandowans,48.64559,-90.26705,15-7026-53901,Shebandowans,48.645,-90.30138889,15-6988-53913,,449.2188416
Hanes,47.11457,-83.88482,17-2809-52215,Hanes,47.11277778,-83.88777778,17-2809-52215,,449.348053
Beak,47.21363,-83.14591,17-3370-52303,Beak,47.2075,-83.15222222,17-3370-52303,,449.6174622
Kay,49.23546,-91.47242,15-6111-54547,Kay,49.23694444,-91.47333333,15-6111-54547,,449.6984558
Shebandowans,48.64304,-90.30157,15-6988-53913,Shebandowans,48.645,-90.30138889,15-6988-53913,,449.7457275
Quinn,47.16053,-83.89663,17-2800-52265,Quinn,47.15694444,-83.90194444,17-2800-52265,,450.8674622
Bethune,48.95168,-91.57173,15-6049-54231,Bethune,48.95388889,-91.56666667,15-6049-54231,,450.8970337
Savoy,49.27585,-91.01053,15-6448-54598,Savoy,49.27611111,-91.00972222,15-6448-54598,,451.0199585
Ellen,48.14412,-85.38996,16-6192-53335,Ellen,48.14555556,-85.39805556,16-6192-53335,,451.0869141
Burnt Island,48.79053,-90.84131,15-6584-54061,Burnt Island,48.78972222,-90.84305556,15-6584-54061,,451.1229858
Gong,47.07006,-83.53602,17-3074-52158,Gong,47.07,-83.53611111,17-3075-52158,,451.5467529
Rose,47.0495,-82.40792,17-3930-52114,Rose,47.04944444,-82.40805556,17-3931-52114,,453.4924927
McLennan,47.72341,-83.39714,17-3202-52877,McLennan,47.71972222,-83.39694444,17-3202-52877,,453.5662231
McEwen,47.64612,-84.13189,16-7153-52806,McEwen,47.645,-84.13361111,16-7153-52806,,453.7299805
Kearns,49.50753,-90.01676,15-7163-54881,Kearns,49.50861111,-90.01194444,15-7163-54881,,453.7559204
Greenwater,48.57454,-90.42999,15-6904-53837,Greenwater,48.57916667,-90.41861111,15-6904-53837,,454.2036133
Megisan,47.24629,-83.52106,17-3090-52347,Megisan,47.24,-83.52333333,17-3090-52347,,455.1712952
Loch Erne,48.6134,-90.36049,15-6946-53876,Loch Erne,48.61277778,-90.36027778,15-6946-53876,,455.1781311
Lac des Mille Lacs,48.87653,-90.51282,15-6827-54135,Lac des Mille Lacs,48.84916667,-90.51027778,15-6826-54135,,455.4850464
Icarus,48.22011,-90.57186,15-6814-53436,Icarus,48.22166667,-90.55805556,15-6814-53436,,455.531311
Whitefish,48.37969,-90.68675,15-6707-53610,Whitefish,48.38111111,-90.695,15-6707-53610,,455.8557739
Baril,48.75029,-90.75708,15-6650-54018,Baril,48.74916667,-90.755,15-6650-54018,,456.7507324
Como,47.91648,-83.5157,17-3120-53099,Como,47.91638889,-83.51583333,17-3120-53099,,457.2728882
Loganberry,49.44536,-90.13101,15-7085-54809,Loganberry,49.44666667,-90.12333333,15-7085-54809,,457.7927246
Elevation,48.3436,-90.87116,15-6577-53565,Elevation,48.34416667,-90.87166667,15-6577-53565,,458.881958
Titmarsh,48.35538,-90.52995,15-6832-53585,Titmarsh,48.35472222,-90.5275,15-6832-53585,,459.0001221
Kashabowie,48.71886,-90.39423,15-6913-53983,Kashabowie,48.71027778,-90.39972222,15-6913-53983,,459.1329956
Redfox,48.4187,-90.88119,15-6569-53648,Redfox,48.41833333,-90.88,15-6569-53648,,459.8164063
Boumage,46.87978,-82.42729,17-3914-51928,Boumage,46.88138889,-82.425,17-3914-51927,,459.8381958
Holly,49.43642,-90.08177,15-7111-54802,Holly,49.43972222,-90.08777778,15-7111-54802,,459.9367065
Camp,48.74852,-90.42086,15-6896-54026,Camp,48.74916667,-90.42027778,15-6896-54026,,460.7692261
Nelson,48.46221,-90.52889,15-6828-53703,Nelson,48.46083333,-90.52777778,15-6828-53702,,460.9940186
Anvil,47.07089,-83.51018,17-3094-52159,Anvil,47.07083333,-83.51027778,17-3094-52159,,461.3929443
Stetham,48.67442,-90.68295,15-6708-53937,Stetham,48.67472222,-90.67944444,15-6708-53937,,462.2783813
Grew,49.40645,-90.12211,15-7088-54764,Grew,49.40638889,-90.12194444,15-7088-54764,,462.328186
Scotch,49.15786,-91.17121,15-6345-54482,Scotch,49.17388889,-91.15444444,15-6345-54482,,462.5844421
Weikwabinonaw,48.32507,-90.37651,15-6958-53562,Weikwabinonaw,48.33055556,-90.35888889,15-6957-53562,,463.2398682
Weaver,49.53029,-90.19699,15-7012-54867,Weaver,49.50111111,-90.22138889,15-7012-54867,,463.5411377
Tilly,48.62935,-90.9475,15-6508-53878,Tilly,48.62722222,-90.95305556,15-6508-53878,,464.133667
Graham,47.1448,-83.81865,17-2862-52249,Graham,47.14472222,-83.82027778,17-2862-52249,,464.3221436
Jacob,48.35246,-90.32642,15-6979-53586,Jacob,48.35194444,-90.32888889,15-6979-53586,,464.3444214
Fallingsnow,48.14185,-89.7849,16-2930-53355,Fallingsnow,48.14138889,-89.78305556,16-2930-53355,,464.3580933
Fork,48.71272,-90.69343,15-6696-53978,Fork,48.71194444,-90.69388889,15-6696-53978,,464.7840576
Lac des Iles,49.20226,-89.61011,16-3103-54530,Lac des Iles,49.20222222,-89.60472222,16-3103-54530,,465.5504761
Batwing,48.44209,-90.17355,15-7091-53688,Batwing,48.44,-90.17277778,15-7091-53689,,466.0172729
Blunder,48.42444,-90.26943,15-7020-53669,Blunder,48.42472222,-90.26944444,15-7020-53669,,466.0760803
Kamikau,48.30997,-90.3213,15-6986-53540,Kamikau,48.31027778,-90.32194444,15-6986-53540,,466.8533325
Sandstone,48.23175,-90.24029,15-7053-53459,Sandstone,48.23527778,-90.23555556,15-7053-53459,,467.0529175
Athelstane,48.77457,-90.20796,15-7050-54058,Athelstane,48.77305556,-90.20972222,15-7050-54058,,467.3699951
Sanctuary,48.75436,-90.26735,15-7008-54035,Sanctuary,48.75416667,-90.26777778,15-7008-54035,,468.5690613
Greenwood,48.41068,-90.77609,15-6648-53638,Greenwood,48.40805556,-90.77277778,15-6648-53638,,468.9942322
Horseshoe,49.34622,-91.84931,15-5833-54665,Horseshoe,49.34777778,-91.85333333,15-5833-54665,,470.0307007
North,48.12228,-90.52495,15-6844-53328,North,48.12388889,-90.5225,15-6844-53328,,470.0899048
Ricestalk,49.09563,-90.15218,15-7080-54418,Ricestalk,49.09555556,-90.15055556,15-7080-54418,,470.343689
Home,48.39187,-90.91955,15-6539-53616,Home,48.39111111,-90.92138889,15-6539-53616,,470.4324951
Wawang,49.42645,-90.55214,15-6775-54775,Wawang,49.42638889,-90.55194444,15-6775-54775,,470.7739868
Grouse,48.54321,-90.54489,15-6812-53794,Grouse,48.54333333,-90.54444444,15-6812-53794,,470.9388428
Muskeg,49.01629,-90.04908,15-7156-54333,Muskeg,49.01722222,-90.05166667,15-7156-54334,,471.0444336
Watershed,48.5347,-90.54017,15-6815-53784,Watershed,48.53444444,-90.54111111,15-6815-53784,,471.0720825
Sunbow,48.22431,-90.52344,15-6843-53443,Sunbow,48.22722222,-90.51777778,15-6844-53443,,471.4647827
Pakashkan,49.39128,-90.27892,15-6981-54703,Pakashkan,49.35555556,-90.27166667,15-6981-54703,,471.7022095
Goulais,47.16373,-83.67077,17-2975-52266,Goulais,47.16333333,-83.67222222,17-2975-52266,,471.8991089
Gull,47.22479,-83.63434,17-3006-52333,Gull,47.22472222,-83.63444444,17-3006-52333,,472.1873779
Rudge,48.69703,-90.73502,15-6659-53963,Rudge,48.69972222,-90.74472222,15-6659-53963,,472.5375977
Myrt,48.44354,-90.7278,15-6681-53680,Myrt,48.44472222,-90.72722222,15-6681-53680,,473.8137207
Squeers,48.51628,-90.55746,15-6804-53764,Squeers,48.51666667,-90.55666667,15-6804-53764,,475.0003357
Tinto,48.54084,-90.25014,15-7029-53799,Tinto,48.54111111,-90.25083333,15-7029-53799,,475.4812317
Arrow,48.15855,-90.26498,15-7025-53379,Arrow,48.16416667,-90.27611111,15-7025-53379,,476.8135071
Huronian,48.68758,-90.77235,15-6641-53950,Huronian,48.68833333,-90.77027778,15-6641-53950,,478.204834
Dakota,48.55075,-90.23783,15-7039-53810,Dakota,48.55111111,-90.23638889,15-7039-53810,,481.1622314
Twinhouse,48.3689,-90.85668,15-6587-53594,Twinhouse,48.36944444,-90.85666667,15-6587-53594,,481.8366394
South Branch,47.06961,-83.67101,17-2976-52164,South Branch,47.07194444,-83.66583333,17-2976-52164,,482.6123962
Atik,48.21094,-90.17813,15-7097-53434,Atik,48.21083333,-90.17722222,15-7097-53434,,486.246521
Ward,46.98394,-83.78715,17-2880-52069,Ward,46.98388889,-83.78722222,17-2880-52069,,486.9360962
Ninegee,47.37231,-83.52071,17-3097-52494,Ninegee,47.37222222,-83.52083333,17-3097-52494,,487.5600586
Addie,48.16665,-90.42954,15-6910-53378,Addie,48.16638889,-90.43111111,15-6910-53378,,488.7688293
Saddle,46.95281,-83.78813,17-2880-52035,Saddle,46.95305556,-83.78583333,17-2880-52035,,490.8387451
Hood,48.48629,-90.65282,15-6735-53727,Hood,48.48555556,-90.65222222,15-6735-53727,,491.5945129
Wabindon,48.15543,-90.21026,15-7076-53374,Wabindon,48.1575,-90.20888889,15-7076-53374,,492.3118286
Church,48.52654,-90.56936,15-6795-53776,Church,48.5275,-90.56888889,15-6795-53776,,493.0730896
Crayfish,48.68673,-90.6148,15-6758-53944,Crayfish,48.68027778,-90.61222222,15-6758-53945,,497.6188965
Castle,48.19412,-90.07267,15-7176-53418,Castle,48.19416667,-90.07166667,15-7176-53418,,499.0708008
Cameron,48.16948,-90.0888,15-7164-53390,Cameron,48.16972222,-90.08972222,15-7164-53391,,505.7757568
Sunbeam,48.19223,-90.4631,15-6885-53406,Sunbeam,48.19222222,-90.46361111,15-6885-53406,,508.8782349
Shamattawa,54.18624,-85.68382,16-5856-60025,Shamattawa,54.165,-85.68916667,16-5856-60025,,88.39553833
Wawa,50.31715,-82.14715,17-4169-55743,NA,50.31333333,-82.14444444,17-4185-55739,Match,96.36634827
Spruce,54.33456,-85.01359,16-6292-60223,Spruce,54.33444444,-85.01361111,16-6292-60223,,112.4193268
Echoing,54.52068,-92.24003,15-5492-60415,Echoing,54.52055556,-92.23972222,15-5492-60415,,184.0787506
Hillmer,49.91811,-82.88897,17-3644-55310,Hillmer,49.91777778,-82.88861111,17-3644-55310,,206.0785522
Mowbray,49.92544,-82.20465,17-4135-55308,Mowbray,49.92555556,-82.20555556,17-4135-55308,,212.7623596
Guilfoyle,49.75797,-82.36108,17-4019-55121,Guilfoyle,49.75527778,-82.36138889,17-4019-55121,,213.9999084
Stringer,50.18024,-80.87746,17-5088-55586,Stringer,50.18111111,-80.87694444,17-5088-55586,,232.535141
Lingman,53.85483,-92.85197,15-5089-59670,Lingman,53.85305556,-92.86527778,15-5089-59670,,247.1135712
Natogami,50.20248,-80.54211,17-5325-55608,Natogami,50.20027778,-80.54444444,17-5325-55608,,258.123291
Fernow,49.91841,-86.05307,16-5680-55298,Fernow,49.91833333,-86.05305556,16-5680-55298,,262.0740051
Kesagami,50.32589,-80.24009,17-5547-55801,Kesagami,50.37277778,-80.23027778,17-5547-55801,,262.0993958
Wabinosh,50.08021,-88.98877,16-3576-55491,Wabinosh,50.07916667,-88.99027778,16-3576-55491,,263.5799255
Flynne,49.79314,-85.72027,16-5921-55162,Flynne,49.79305556,-85.72027778,16-5921-55162,,267.3268433
Klotz,49.80202,-85.86278,16-5818-55170,Klotz,49.80194444,-85.86277778,16-5818-55170,,271.2434692
Shacabac,49.96674,-85.92055,16-5774-55353,Shacabac,49.96666667,-85.92055556,16-5774-55353,,280.210144
Peeagwon,52.39063,-88.83429,16-3751-58057,Peeagwon,52.38944444,-88.83472222,16-3752-58057,,283.3219604
Snowshoe,50.07008,-88.89478,16-3646-55478,Snowshoe,50.06916667,-88.89194444,16-3646-55478,,293.1432495
Obonga,49.97411,-89.3113,16-3346-55390,Obonga,49.98277778,-89.30722222,16-3346-55390,,294.3622437
Little Kesagami,49.74674,-80.27486,17-5521-55108,Little Kesagami,49.74916667,-80.27666667,17-5521-55108,,297.9224854
Lawagamau,49.83328,-80.07989,17-5662-55201,Lawagamau,49.83194444,-80.07944444,17-5662-55201,,298.5406494
Castle,50.1269,-88.87219,16-3663-55543,Castle,50.1275,-88.87027778,16-3663-55542,,303.5869751
Weese,51.26148,-88.62762,16-3864-56799,Weese,51.26138889,-88.6275,16-3864-56799,,306.7918091
Elbow,50.1298,-87.7934,16-4433-55531,Elbow,50.12972222,-87.79333333,16-4433-55532,,308.6130981
Cry,49.92643,-89.01587,16-3557-55322,Cry,49.92638889,-89.01111111,16-3556-55322,,309.1506348
Waweig,50.12945,-89.09663,16-3500-55543,Waweig,50.12361111,-89.09888889,16-3500-55543,,309.2393188
Bukemiga,50.11444,-89.2204,16-3411-55531,Bukemiga,50.11083333,-89.22194444,16-3411-55531,,309.4310913
Frank,50.16218,-87.90603,16-4359-55570,Frank,50.16361111,-87.89694444,16-4359-55570,,311.9537964
Cygnet,49.99142,-94.88562,15-3653-55394,Cygnet,49.99361111,-94.87972222,15-3653-55394,,312.2447815
Totogan,52.06298,-89.1905,16-3492-57692,Totogan,52.055,-89.19888889,16-3492-57692,,316.9183044
Crevasse,49.86587,-89.37235,16-3297-55263,Crevasse,49.86722222,-89.37,16-3297-55263,,317.2852783
Lount,50.17089,-94.30746,15-4066-55579,Lount,50.16833333,-94.30833333,15-4066-55580,,318.252533
Tide,50.33775,-93.98355,15-4305-55763,Tide,50.33638889,-93.97722222,15-4305-55763,,319.0280457
Burrows,49.9523,-86.73837,16-5188-55331,Burrows,49.95222222,-86.73833333,16-5188-55331,,320.9938354
North Spirit,52.5156,-92.91514,15-5061-58179,North Spirit,52.51277778,-92.91027778,15-5061-58179,,321.0037231
South Scot,49.93666,-95.05632,15-3523-55336,South Scot,49.93833333,-95.05777778,15-3523-55336,,321.1477661
Fletcher,50.42908,-94.48032,15-3925-55861,Fletcher,50.41916667,-94.51361111,15-3925-55861,,321.9678345
Blindfold,49.67003,-94.25758,15-4100-55022,Blindfold,49.66722222,-94.24722222,15-4100-55022,,322.9962463
Longbow,49.71891,-94.29528,15-4058-55081,Longbow,49.71972222,-94.30722222,15-4058-55081,,324.0090942
Kilbarry,51.11995,-88.82077,16-3721-56638,Kilbarry,51.11361111,-88.8275,16-3721-56638,,324.506073
Pikangikum,51.80217,-93.99622,15-4304-57399,Pikangikum,51.8075,-94.00888889,15-4304-57399,,325.019928
Blueberry,50.15109,-94.74174,15-3755-55568,Blueberry,50.15222222,-94.74305556,15-3755-55568,,325.2791443
Clay,50.04611,-93.48572,15-4653-55440,Clay,50.04916667,-93.48527778,15-4653-55440,,326.9277954
Springwater,50.05944,-86.96565,16-5024-55448,Springwater,50.05722222,-86.96611111,16-5024-55448,,328.0021057
Berry,49.47183,-93.96128,15-4302-54803,Berry,49.47361111,-93.96361111,15-4302-54803,,328.4174194
Delaney,50.09299,-94.048,15-4250-55493,Delaney,50.09305556,-94.04833333,15-4250-55493,,329.094574
Malachi,49.89658,-95.00767,15-3559-55281,Malachi,49.89027778,-95.00611111,15-3559-55281,,329.16922
Dilla,49.82976,-87.5004,16-4636-55195,Dilla,49.82888889,-87.50555556,16-4636-55195,,331.9703369
Shabuskwia,51.25607,-88.99587,16-3601-56788,Shabuskwia,51.24527778,-89.00472222,16-3601-56788,,332.8631287
Bee,50.69288,-95.06074,15-3553-56171,Bee,50.68972222,-95.04888889,15-3553-56171,,334.1163635
Onaman,50.00783,-87.44852,16-4688-55390,Onaman,50.00472222,-87.43583333,16-4688-55390,,335.8447876
Black,49.54106,-94.07975,15-4218-54877,Black,49.53888889,-94.08111111,15-4218-54877,,336.7502136
Snook,50.1919,-94.70272,15-3795-55615,Snook,50.19527778,-94.68861111,15-3795-55615,,337.2579041
Silver,49.87618,-94.17702,15-4153-55253,Silver,49.87638889,-94.17833333,15-4153-55253,,338.1185608
Pickerel,49.79767,-94.8772,15-3654-55172,Pickerel,49.79444444,-94.87083333,15-3654-55172,,341.1485291
Big Canon,50.06847,-93.75888,15-4455-55462,Big Canon,50.06777778,-93.76111111,15-4455-55462,,341.9613342
Bulging,50.94425,-94.94722,15-3634-56451,Bulging,50.94361111,-94.94388889,15-3634-56451,,344.2559509
Pakwash,50.74727,-93.50609,15-4660-56220,Pakwash,50.75055556,-93.48138889,15-4660-56220,,345.1236267
Old Man,50.03672,-94.22218,15-4124-55428,Old Man,50.03277778,-94.2225,15-4124-55428,,345.1817017
Silcox,51.75362,-93.37461,15-4741-57335,Silcox,51.75388889,-93.37555556,15-4741-57335,,347.0648804
Berens,51.75814,-93.71456,15-4525-57350,Berens,51.76611111,-93.68777778,15-4525-57350,,347.6167908
Dryberry,49.54722,-93.85008,15-4395-54864,Dryberry,49.52916667,-93.83666667,15-4394-54864,,348.7652893
Dogtooth,49.69869,-94.15775,15-4148-55077,Dogtooth,49.71777778,-94.18194444,15-4148-55077,,348.9667053
Wabaskang,50.38864,-93.22539,15-4880-55820,Wabaskang,50.39194444,-93.16861111,15-4880-55820,,349.0325317
